regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,HC_LI,199.0,294.0
E1_c2,abstraction,HC_LI,163.0,234.0
E1_c2,abstraction,HC_LI,178.0,287.0
E1_c2,abstraction,HC_LI,184.0,214.0
E1_c2,abstraction,HC_LI,168.0,213.0
E1_c2,abstraction,HC_LI,203.0,304.0
E1_c2,abstraction,HC_LI,198.0,254.0
E1_c2,abstraction,HC_LI,189.0,292.0
E1_c2,abstraction,HC_LI,189.0,243.0
E1_c2,abstraction,HC_LI,174.0,224.0
E1_c2,abstraction,HC_LI,164.0,253.0
E1_c2,abstraction,HC_LI,203.0,254.0
E1_c2,abstraction,HC_LI,174.0,268.0
E1_c2,abstraction,HC_LI,208.0,298.0
E1_c2,abstraction,HC_LI,163.0,259.0
E1_c2,abstraction,HC_LI,223.0,289.0
E1_c2,abstraction,HC_LI,178.0,250.0
E1_c2,abstraction,HC_LI,145.0,238.0
E1_c2,abstraction,HC_LI,173.0,242.0
E1_c2,abstraction,HC_LI,159.0,252.0
E1_c2,abstraction,HC_LI,178.0,243.0
E1_c2,abstraction,HC_LI,179.0,258.0
E1_c2,abstraction,HC_LI,213.0,260.0
E1_c2,abstraction,HC_LI,174.0,231.0
E1_c2,abstraction,HC_LI,193.0,250.0
E1_c2,abstraction,HC_LI,183.0,262.0
E1_c2,abstraction,HC_LI,159.0,255.0
E1_c2,abstraction,HC_LI,199.0,242.0
E1_c2,abstraction,HC_LI,199.0,263.0
E1_c2,abstraction,HC_LI,212.0,272.0
E1_c2,abstraction,HC_LI,184.0,214.0
