config_id,F,n_amrs,n_elevators,demand,size,arm,ops_policy,wave_id,makespan
1,3,5,2,uniform,8,phi_corner,fifo,79,99.0
1,3,5,2,uniform,8,phi_corner,fifo,80,80.0
1,3,5,2,uniform,8,phi_corner,fifo,81,100.0
1,3,5,2,uniform,8,phi_corner,fifo,82,81.0
1,3,5,2,uniform,8,phi_corner,fifo,83,109.0
1,3,5,2,uniform,8,phi_corner,fifo,84,76.0
1,3,5,2,uniform,8,phi_corner,fifo,85,100.0
1,3,5,2,uniform,8,phi_corner,fifo,86,85.0
1,3,5,2,uniform,8,phi_corner,fifo,87,124.0
1,3,5,2,uniform,8,phi_corner,fifo,88,88.0
1,3,5,2,uniform,8,phi_corner,fifo,89,71.0
1,3,5,2,uniform,8,phi_corner,fifo,90,124.0
1,3,5,2,uniform,8,phi_corner,fifo,91,66.0
1,3,5,2,uniform,8,phi_corner,fifo,92,115.0
1,3,5,2,uniform,8,phi_corner,fifo,93,71.0
1,3,5,2,uniform,8,phi_corner,fifo,94,90.0
1,3,5,2,uniform,8,phi_corner,fifo,95,115.0
1,3,5,2,uniform,8,phi_corner,fifo,96,109.0
1,3,5,2,uniform,8,phi_corner,fifo,97,85.0
1,3,5,2,uniform,8,phi_corner,fifo,98,109.0
1,3,5,2,uniform,8,phi_corner,fifo,99,109.0
1,3,5,2,uniform,8,phi_corner,fifo,100,95.0
1,3,5,2,uniform,8,phi_corner,fifo,101,105.0
1,3,5,2,uniform,8,phi_corner,fifo,102,124.0
1,3,5,2,uniform,8,phi_corner,fifo,103,99.0
1,3,5,2,uniform,8,phi_corner,fifo,104,109.0
1,3,5,2,uniform,8,phi_corner,fifo,105,71.0
1,3,5,2,uniform,8,phi_corner,fifo,106,71.0
1,3,5,2,uniform,8,phi_corner,fifo,107,109.0
1,3,5,2,uniform,8,phi_corner,fifo,108,84.0
1,3,5,2,uniform,8,phi_corner,fifo,109,99.0
